2018-04-25 02:48:06 	 [ WARN] 	 <main.go:30>  	 test
2018-04-25 02:56:13 	 [ WARN] 	 <main.go:30>  	 test
2018-04-25 02:57:04 	 [ WARN] 	 <main.go:30>  	 test
2018-04-25 16:00:18 	 [ WARN] 	 <main.go:30>  	 test
2018-04-25 16:00:18 	 [DEBUG] 	 <tcp.go:32>  	 start tcp listen: "localhost:5000"
2018-04-25 16:02:33 	 [ WARN] 	 <main.go:30>  	 test
2018-04-25 16:02:33 	 [DEBUG] 	 <tcp.go:32>  	 start tcp listen: "localhost:5000"
2018-04-25 16:10:45 	 [ WARN] 	 <main.go:32>  	 test
2018-04-25 16:30:25 	 [ WARN] 	 <main.go:32>  	 test
2018-04-25 16:31:17 	 [ WARN] 	 <main.go:32>  	 test
2018-04-25 16:31:43 	 [ WARN] 	 <main.go:32>  	 test
2018-04-25 17:10:12 	 [ WARN] 	 <main.go:32>  	 test
2018-04-25 17:11:34 	 [ WARN] 	 <main.go:32>  	 test
2018-04-25 17:15:09 	 [ WARN] 	 <main.go:34>  	 test
2018-04-25 17:15:20 	 [ WARN] 	 <main.go:34>  	 test
2018-04-25 17:15:36 	 [ WARN] 	 <main.go:34>  	 test
2018-04-25 17:25:18 	 [ WARN] 	 <main.go:30>  	 test
2018-04-25 17:38:23 	 [ WARN] 	 <main.go:30>  	 test
