2018-06-10 00:00:47 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-10 00:02:21 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:02:21 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:02:21 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-06-10 00:02:21 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-06-10 00:07:46 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:50972]
2018-06-10 00:07:46 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:09:38 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:09:38 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:09:38 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:09:38 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:09:57 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51016]
2018-06-10 00:09:57 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:10:01 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:10:01 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:10:01 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:10:01 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:10:02 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51017]
2018-06-10 00:10:02 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:10:07 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:10:07 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
