2018-06-18 00:00:41 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:00:41 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:00:41 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:00:41 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:03:25 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:61414]
2018-06-18 00:03:25 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:04:32 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:04:32 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:04:32 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:04:32 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:04:39 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:61482]
2018-06-18 00:04:39 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:06:40 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 00:08:41 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 00:10:42 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 00:11:51 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:11:51 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:11:51 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:11:51 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:11:58 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:61637]
2018-06-18 00:11:58 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:14:03 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
