2018-06-19 01:16:52 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:read tcp 192.168.31.74:62310->192.168.31.41:53105: i/o timeout
2018-06-19 01:16:52 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 01:16:52 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 01:22:40 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:53175]
2018-06-19 01:22:40 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 01:24:41 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 01:26:42 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 01:28:43 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 01:28:52 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 01:28:52 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 01:28:52 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 01:28:52 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 01:29:04 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:53192]
2018-06-19 01:29:04 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 01:31:04 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 01:31:11 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 01:31:11 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 01:31:11 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 01:31:11 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 01:31:21 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:53209]
