2018-07-02 08:10:53 	 [ERROR] 	 <device.go:85>  	 Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'SELECTuser_id,device_id,device_token,platform,user_agent,unique_mac_uuid,environ' at line 1B3475C74-5F9D-443D-B654-0AA611350555
2018-07-02 08:11:33 	 [ERROR] 	 <device.go:85>  	 Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'SELECTuser_id,device_id,device_token,platform,user_agent,unique_mac_uuid,environ' at line 1B3475C74-5F9D-443D-B654-0AA611350555
2018-07-02 08:11:33 	 [ERROR] 	 <device.go:85>  	 Error 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'SELECTuser_id,device_id,device_token,platform,user_agent,unique_mac_uuid,environ' at line 1B3475C74-5F9D-443D-B654-0AA611350555
2018-07-02 08:14:02 	 [ERROR] 	 <user.go:109>  	 sql: no rows in result set86607c35-bf0e-44a8-a1e4-86360c2e818e
2018-07-02 11:36:36 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:64380]
2018-07-02 11:36:36 	 [ WARN] 	 <login.go:36>  	 sql: no rows in result set
2018-07-02 11:36:36 	 [ WARN] 	 <auth_handle.go:37>  	 get login by token error, auth:Token:be4e470b-a9f0-4514-9b76-24a3efe48ddf,PlatformType:1,DeviceId:CDCF5578-1E0E-4563-BEA6-AB6F06CBF8E0
2018-07-02 11:36:36 	 [ WARN] 	 <auth_handle.go:38>  	 根据Token获取用户登录错误
2018-07-02 11:36:37 	 [ERROR] 	 <user.go:109>  	 sql: no rows in result setbe4e470b-a9f0-4514-9b76-24a3efe48ddf
2018-07-02 11:36:42 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-07-02 11:36:42 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-07-02 11:36:42 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-07-02 11:36:42 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-07-02 11:36:42 	 [ERROR] 	 <user.go:109>  	 sql: no rows in result setbe4e470b-a9f0-4514-9b76-24a3efe48ddf
2018-07-02 11:36:43 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:64383]
2018-07-02 11:36:43 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-07-02 11:37:50 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-07-02 11:37:50 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-07-02 11:37:50 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-07-02 11:37:50 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-07-02 11:37:58 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:64438]
2018-07-02 11:37:58 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-07-02 11:41:49 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-07-02 11:41:49 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-07-02 11:41:49 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-07-02 11:41:49 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-07-02 11:41:57 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:64581]
2018-07-02 11:41:57 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-07-02 11:43:14 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-07-02 11:43:14 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-07-02 11:43:14 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-07-02 11:43:14 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-07-02 11:43:22 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:64642]
2018-07-02 11:43:22 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-07-02 11:44:34 	 [ INFO] 	 <file_handle.go:61>  	 open ./image/2018-07-02/59216d0a-868f-4331-9464-60f58ac4e074.png: permission denied
2018-07-02 11:46:09 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:64709]
2018-07-02 11:46:09 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-07-02 11:46:31 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-07-02 11:46:31 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-07-02 11:46:31 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-07-02 11:46:31 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-07-02 11:47:08 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:64756]
2018-07-02 11:47:08 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-07-02 11:47:09 	 [ INFO] 	 <file_handle.go:83>  	 2018-07-02%!(EXTRA string=bb096655-b878-44b2-bac0-471cdb7c9f4f.png)
2018-07-02 11:47:56 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-07-02 11:47:56 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-07-02 11:47:56 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-07-02 11:47:56 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
